Parámetros del algoritmo
------------------------
Algoritmo: BusquedaTabu
Dataset: ford01.dat
Semilla: 5430765

Solución inicial y su coste
---------------------------
[15, 1, 12, 17, 16, 10, 8, 7, 19, 11, 6, 4, 9, 18, 3, 14, 2, 13, 0, 5]
Coste: 3646

Evolución de la búsqueda
------------------------
Intercambio (6, 10) -> Nueva solución con coste 3796
Intercambio (7, 13) -> Nueva solución con coste 3754
Intercambio (17, 18) -> Nueva solución con coste 3734
Intercambio (5, 9) -> Nueva solución con coste 3716
Intercambio (4, 11) -> Nueva solución con coste 3702
Intercambio (8, 12) -> Nueva solución con coste 3688
Intercambio (8, 19) -> Nueva solución con coste 3680
Intercambio (2, 4) -> Nueva solución con coste 3674
Intercambio (17, 19) -> Nueva solución con coste 3668
Intercambio (0, 15) -> Nueva solución con coste 3664
Intercambio (1, 15) -> Nueva solución con coste 3660
Intercambio (8, 15) -> Nueva solución con coste 3658
Intercambio (9, 12) -> Peor solución (coste 3658) — no aceptada
Intercambio (8, 12) -> Peor solución (coste 3658) — no aceptada
Intercambio (1, 12) -> Nueva solución con coste 3646
