Parámetros del algoritmo
------------------------
Algoritmo: BusquedaTabu
Dataset: ford04.dat
Semilla: 35470364

Solución inicial y su coste
---------------------------
[0, 19, 14, 1, 27, 12, 25, 8, 20, 24, 21, 18, 10, 23, 28, 13, 22, 5, 3, 11, 26, 29, 16, 4, 17, 9, 2, 6, 15, 7]
Coste: 176404

Evolución de la búsqueda
------------------------
Intercambio (23, 28) -> Nueva solución con coste 176402
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
Intercambio (16, 23) -> Peor solución (coste 176060) — no aceptada
Intercambio (16, 23) -> Nueva solución con coste 175946
Intercambio (9, 13) -> Peor solución (coste 175980) — no aceptada
Intercambio (9, 13) -> Nueva solución con coste 175946
