Parámetros del algoritmo
------------------------
Algoritmo: BusquedaTabu
Dataset: ford03.dat
Semilla: 40753067

Solución inicial y su coste
---------------------------
[3, 17, 22, 8, 12, 20, 6, 10, 19, 4, 24, 26, 29, 0, 16, 21, 23, 13, 2, 18, 25, 15, 5, 11, 7, 27, 28, 14, 1, 9]
Coste: 13366

Evolución de la búsqueda
------------------------
Intercambio (18, 21) -> Nueva solución con coste 13674
Intercambio (12, 13) -> Nueva solución con coste 13606
Intercambio (2, 4) -> Nueva solución con coste 13552
Intercambio (10, 24) -> Nueva solución con coste 13498
Intercambio (23, 27) -> Nueva solución con coste 13466
Intercambio (8, 20) -> Nueva solución con coste 13436
Intercambio (7, 26) -> Nueva solución con coste 13418
Intercambio (9, 20) -> Nueva solución con coste 13404
Intercambio (0, 28) -> Nueva solución con coste 13392
Intercambio (11, 29) -> Nueva solución con coste 13380
Intercambio (1, 2) -> Nueva solución con coste 13370
Intercambio (6, 28) -> Nueva solución con coste 13364
Intercambio (9, 29) -> Nueva solución con coste 13358
Intercambio (22, 26) -> Nueva solución con coste 13354
Intercambio (4, 22) -> Nueva solución con coste 13348
Intercambio (5, 20) -> Nueva solución con coste 13346
Intercambio (5, 28) -> Nueva solución con coste 13344
Intercambio (20, 29) -> Nueva solución con coste 13342
