Parámetros del algoritmo
------------------------
Algoritmo: BusquedaTabu
Dataset: ford02.dat
Semilla: 40753067

Solución inicial y su coste
---------------------------
[12, 1, 8, 9, 7, 13, 2, 19, 3, 10, 0, 5, 15, 11, 16, 18, 14, 6, 17, 4]
Coste: 31004

Evolución de la búsqueda
------------------------
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
Intercambio (15, 16) -> Nueva solución con coste 30778
Intercambio (13, 15) -> Peor solución (coste 30780) — no aceptada
Intercambio (13, 15) -> Nueva solución con coste 30778
Intercambio (15, 16) -> Peor solución (coste 30856) — no aceptada
